,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3:PK3,RI:ICD3,RI:ICD3,RI:ICD3,RI,RI,RI,RI,RI,RI,RI,RI,RI
Device,Prog/Data BPs,Data BP Access,ANDed BPs,Sequenced BPs,Range BPs,Table R/W BPs,Pass Count,Break - Clk Sw,Break - Sleep,Break - Stack,Break - WDT,Stopwatch,Debug Reads,Stack Snapshot,PKOB Support,Runtime BPs,SW BPs,App IO,Data Capture,Realtime Watch,Native Trace,Port Trace,SPI Trace,Inst Trace,Jump Trace,PC Sampling,FLP,
PIC32MZ1025DAA288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAB169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAB176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAB288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAG169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAG176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAH169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1025DAH176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAA169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAA176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAA288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAB169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAB176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAB288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAG169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAG176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAH169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ1064DAH176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAA169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAA176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAA288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAB169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAB176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAB288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAG169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAG176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAH169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2025DAH176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECG064,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECG100,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECG124,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECG144,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECH064,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECH100,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECH124,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECH144,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECM064,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECM100,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECM124,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048ECM144,'8/4,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFG064,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFG100,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFG124,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFG144,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFH064,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFH100,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFH124,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFH144,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFM064,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFM100,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFM124,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2048EFM144,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAA169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAA176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAA288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAB169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAB176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAB288,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAG169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAG176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAH169,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32MZ2064DAH176,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,Yes,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
PIC32WK2057GPD132,'8/2,R/W/Either,2,'3/3,N/A,No,Yes,Yes,Yes,N/A,Yes,Yes,Yes,N/A,No,Yes,N/A,No,No,Yes,No,No,No,Yes,No,No,No,
dsPIC30F1010,2 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
dsPIC30F2010,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F2011,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F2012,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F2020,2 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
dsPIC30F2023,2 Total,R/W,3:RI-3:ICD3-0:PK3,3/6:RI-3/6:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,
dsPIC30F3010,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F3011,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F3012,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F3013,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F3014,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F4011,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F4012,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F4013,1 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F5011,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F5013,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F5015,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F5016,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6010,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6010A,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6011,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6011A,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6012,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6012A,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6013,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6013A,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6014,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6014A,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC30F6015,2 Total,R/W,1:RI-1:ICD3-0:PK3,2/4:RI-2/4:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,No,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,No,No,No,No,No,No,No,No,No,No,
dsPIC33CH128RA502,8 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA502S1,3 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA503,8 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA503S1,3 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA505,8 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA505S1,3 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA506,8 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA506S1,3 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA508,8 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33CH128RA508S1,3 Total,R/W,2:RI-0:ICD3-0:PK3,2/5:RI-No:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-N/A:ICD3-N/A:PK3,N/A,No,Yes:RI-No:ICD3,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33DV64MC205,2 Total,R/W,2:RI-2:ICD3-0:PK3,2/5:RI-2/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33EP128GM304,8 Total,R/W,2:RI-2:ICD3-0:PK3,2/5:RI-2/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
dsPIC33EP128GM306,8 Total,R/W,2:RI-2:ICD3-0:PK3,2/5:RI-2/5:ICD3-No:PK3,N/A,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes:RI-Yes:ICD3-N/A:PK3,N/A,Yes,Yes,N/A,Yes:RI-No:ICD3,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,
